Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
1;GUANABARA - URB;6162;4253;1241;9053;1342;41;3779;2769;2047;10012;252;1619
1;GUANABARA - URB;6443;6929;1947;15226;2870;12;4894;2574;3387;15824;1513;1132
1;GUANABARA - URB;7501;3360;908;7335;1178;0;2053;913;2082;7210;0;737
1;GUANABARA - URB;7502;818;261;1652;312;0;611;316;487;1886;0;169
1;GUANABARA - URB;7601;218;79;533;115;0;287;113;73;687;417;71
1;REUNIDAS;7;14789;4563;45430;9991;189;8415;3925;8606;39628;3359;3586
1;REUNIDAS;26;16291;5699;50106;12882;250;7235;4809;8498;42178;4320;3209
1;REUNIDAS;27;10410;3112;23687;3513;111;9888;5329;5152;30294;3061;2948
1;REUNIDAS;35;14829;3957;32022;8841;923;11693;6948;8205;29497;2538;2647
1;REUNIDAS;68;9164;2625;24352;5151;131;8002;3542;6334;25202;1318;2366
1;REUNIDAS;73;31836;13882;109827;29590;506;16570;10232;15542;88472;8935;5315
1;REUNIDAS;85;9496;2099;17117;4653;558;7680;4448;4479;16833;0;1976
1;REUNIDAS;1029;15066;4755;41097;9765;109;9752;5001;7017;34460;2854;2675
1;REUNIDAS;1778;2053;654;5533;1032;29;1899;1100;1113;5795;699;614
1;REUNIDAS;6443;7188;2100;17198;3229;13;5542;2740;4171;18398;1505;1154
1;REUNIDAS;7847;13906;4557;30570;5566;57;9640;5988;7807;33377;3611;2436
1;REUNIDAS;9018;17;13;314;305;0;384;44;31;167;19;93
1;SANTA MARIA - URB;24;13291;4304;30853;11421;0;10562;6586;9035;28834;645;3586
1;SANTA MARIA - URB;34;4761;1418;8867;2383;0;7476;4569;2233;12728;0;1530
1;SANTA MARIA - URB;36;5514;1949;14256;4655;0;7025;4175;3017;17006;1338;2006
1;SANTA MARIA - URB;37;17916;6228;30512;10837;0;11157;7074;8367;34674;1234;3564
1;SANTA MARIA - URB;38;26900;8540;48578;13299;21;31929;16846;11583;75035;6370;4442
1;SANTA MARIA - URB;39;12985;3068;30123;10132;0;7918;3822;6392;21842;743;3202
1;SANTA MARIA - URB;44;11110;3893;23087;6165;0;11605;7586;5965;27227;776;3064
1;SANTA MARIA - URB;46;14058;5483;25976;11635;0;6092;5799;7200;34910;2138;2843
1;SANTA MARIA - URB;48;5669;2160;11139;3648;0;6204;4018;2215;15419;1180;2040
1;SANTA MARIA - URB;54;17027;6555;34782;12565;0;9693;7875;7525;42762;3782;3520
1;SANTA MARIA - URB;56;4528;1872;26356;11490;0;3166;2379;3935;21330;1329;2162
1;SANTA MARIA - URB;66;5724;2530;14590;1770;0;3175;2058;2703;18407;2097;2171
1;SANTA MARIA - URB;83;5516;2226;18283;1687;0;3999;1602;3435;19428;2425;1534
1;SANTA MARIA - URB;331;7371;2011;15550;2991;31;4051;1918;4034;14243;0;1284
1;SANTA MARIA - URB;332;1679;448;4087;869;0;854;439;1073;3023;190;554
1;SANTA MARIA - URB;411;4264;1022;7361;2809;0;2926;1136;2042;7536;406;737
1;SANTA MARIA - URB;561;92;73;2501;681;0;92;7;276;1068;55;342
1;VIA SUL - URB;50;23542;7685;67487;18340;197;14589;8364;12868;56430;2876;4868
1;VIA SUL - URB;51;14718;4651;23726;8241;0;9313;7109;6423;28337;596;3236
1;VIA SUL - URB;52;11903;4254;21598;6546;0;10320;7811;5368;28633;664;3109
1;VIA SUL - URB;65;6769;2331;13830;3490;0;4120;2392;3184;12411;0;1856
2;CONCEIÇÃO;21;20079;5794;36754;9057;0;17627;8033;6953;42507;0;3457
2;CONCEIÇÃO;22;200;61;304;55;0;165;73;54;392;0;44
2;CONCEIÇÃO;30;15615;3789;20751;5556;0;7185;3144;5300;21704;0;2203
2;CONCEIÇÃO;31;19030;4366;23203;8524;0;7584;3391;5801;21923;0;2327
2;CONCEIÇÃO;41;10232;2380;20282;8690;0;5848;3457;4754;14620;0;2194
2;CONCEIÇÃO;59;10713;4049;18844;6826;12;12439;4335;4862;27662;0;2273
2;CONCEIÇÃO;63;40701;9842;43915;20553;0;15472;6381;7950;40626;0;3636
2;CONCEIÇÃO;71;18160;5663;28023;5169;0;16782;6918;5681;36368;0;3097
2;CONCEIÇÃO;76;3675;989;7027;1474;41;3227;1094;1575;8279;0;623
2;CONCEIÇÃO;83;6206;2385;14499;1355;0;3256;1310;2674;15600;0;1148
2;CONCEIÇÃO;411;7246;2029;11545;4388;0;4836;1979;3316;11805;0;1077
2;CONCEIÇÃO;587;686;2;472;157;0;964;160;153;1955;0;962
2;CONCEIÇÃO;599;8266;2034;14912;5931;38;5642;938;3511;11402;0;1413
2;CONCEIÇÃO;905;87;31;744;45;0;193;12;64;509;0;203
2;CONCEIÇÃO;2369;983;245;1553;905;0;888;418;305;1495;0;377
2;CONCEIÇÃO;3001;2574;613;3886;1600;0;1288;642;974;3315;0;544
2;CONCEIÇÃO;3101;1663;381;1988;1068;0;518;272;460;1462;0;309
2;CONCEIÇÃO;6301;5216;1570;10242;2421;0;2722;1012;1888;8582;0;926
2;CONCEIÇÃO;7601;102;37;243;54;0;149;68;43;367;0;41
2;DUNAS - URB;33;41485;12809;69418;18089;104;18409;7548;16733;65000;0;4092
2;DUNAS - URB;40;31108;9779;48901;16946;31;29354;12908;11872;64568;0;3810
2;DUNAS - URB;57;2216;553;1902;999;0;1016;380;529;1811;0;355
2;DUNAS - URB;331;14287;3328;20810;4473;7;5722;2580;5917;18822;0;1471
2;DUNAS - URB;332;2518;642;4228;865;0;933;435;1172;2840;0;550
2;DUNAS - URB;411;4305;1240;7317;3171;0;2713;1002;1976;7031;0;668
2;GUANABARA - URB;2;17568;4680;35560;6690;226;8280;4163;6188;28613;0;2251
2;GUANABARA - URB;4;11332;4239;31809;6537;0;4029;2835;4140;22715;0;2099
2;GUANABARA - URB;5;5886;1769;12939;1740;30;4419;2447;2423;15732;0;1341
2;GUANABARA - URB;8;26629;8101;50859;18754;525;16379;6373;9293;42787;0;3018
2;GUANABARA - URB;13;1527;344;2237;613;28;985;438;679;2637;0;386
2;GUANABARA - URB;18;659;74;761;275;0;67;10;98;228;0;51
2;GUANABARA - URB;19;5761;2406;12830;3585;0;8865;4643;3028;15233;0;1726
2;GUANABARA - URB;20;6658;1890;10692;2771;0;9428;5571;2681;15361;0;1961
2;GUANABARA - URB;25;5871;1775;6666;1663;0;4182;2779;1304;8491;0;1131
2;GUANABARA - URB;60;30698;8368;56990;10291;329;12883;6463;10698;45806;0;3516
2;GUANABARA - URB;64;22339;6208;38053;6747;148;17119;9435;6560;41950;0;3220
2;GUANABARA - URB;67;6239;1774;13134;1735;31;4493;2621;2449;16266;0;1208
2;GUANABARA - URB;70;12787;4421;29362;4140;68;9432;6190;4985;33292;0;2588
2;GUANABARA - URB;72;12910;3770;29977;7337;53;6252;3152;6050;30735;0;2180
2;GUANABARA - URB;75;11111;2841;15732;2768;114;4808;2153;4317;16082;0;1651
2;GUANABARA - URB;76;3450;937;6613;1582;51;3347;921;1371;7298;0;546
2;GUANABARA - URB;77;19724;6447;48389;11636;74;8321;4716;8146;43093;0;3356
2;GUANABARA - URB;79;28016;7297;43726;10319;390;10084;4231;8427;38627;0;2856
2;GUANABARA - URB;81;7272;2056;12948;2451;16;4124;1756;3449;14053;0;1368
2;GUANABARA - URB;84;19150;4518;36441;13666;203;12489;6073;10431;32424;0;3372
2;GUANABARA - URB;101;8019;2108;16425;3720;74;9154;3707;3693;20064;0;1675
2;GUANABARA - URB;102;482;113;896;179;4;476;175;220;912;0;90
2;GUANABARA - URB;592;1238;273;1554;341;53;950;252;402;1094;0;760
2;GUANABARA - URB;593;4075;738;2699;712;0;987;398;558;3025;0;891
2;GUANABARA - URB;1029;7172;1934;12141;2790;34;3190;1577;2232;11054;0;877
2;GUANABARA - URB;1214;4414;1491;10547;1228;17;4432;2574;1758;11293;0;1493
